Iteration,Scenario,Left_Out_Year,Train_Rows,Test_Rows,RMSE,NRMSE_Percent,Status,Error
9,Cold_Full,2022,3817,1243,1419.9099762909823,17.34974138464401,Completed,
37,Cold_Full,2022,3817,1243,1455.4025417663988,17.783421577302803,Completed,
42,Cold_Full,2022,3817,1243,1808.941431517436,22.103278757697502,Completed,
46,Cold_Full,2022,3817,1243,1508.9368821633154,18.437552456437963,Completed,
49,Cold_Full,2022,3817,1243,1413.9868891852852,17.27736776152813,Completed,
51,Cold_Full,2022,3817,1243,1306.5429031471172,15.964520185115646,Completed,
48,Cold_Full,2022,3817,1243,1351.7215157093567,16.516553241548834,Completed,
53,Cold_Full,2022,3817,1243,1406.3064322194707,17.18352100765092,Completed,
54,Cold_Full,2022,3817,1243,1500.369831972625,18.332872506497754,Completed,
57,Cold_Full,2022,3817,1243,1508.914156858015,18.437274778151007,Completed,
28,Cold_Full,2022,3817,1243,1633.5910764738258,19.960689887620653,Completed,
10,Cold_Full,2022,3817,1243,1403.7719029886061,17.15255184240695,Completed,
47,Cold_Full,2022,3817,1243,1499.0737506003431,18.317035814736997,Completed,
45,Cold_Full,2022,3817,1243,1257.6144022121541,15.366667608730932,Completed,
55,Cold_Full,2022,3817,1243,1466.2444729355925,17.91589807583899,Completed,
60,Cold_Full,2022,3817,1243,1531.7821024227694,18.716695972572772,Completed,
32,Cold_Full,2022,3817,1243,1303.8362712321248,15.931448113975472,Completed,
63,Cold_Full,2022,3817,1243,1409.4593790753202,17.222046557482894,Completed,
62,Cold_Full,2022,3817,1243,1417.0135217127322,17.314349888912513,Completed,
52,Cold_Full,2022,3817,1243,1512.1460295342024,18.47676471487673,Completed,
61,Cold_Full,2022,3817,1243,1395.0389245324736,17.045844431189693,Completed,
58,Cold_Full,2022,3817,1243,1496.8243644758554,18.289550785273363,Completed,
66,Cold_Full,2022,3817,1243,1383.907131169417,16.909826134803872,Completed,
64,Cold_Full,2022,3817,1243,1243.3263684677274,15.192083519246328,Completed,
43,Cold_Full,2022,3817,1243,1552.3441989676612,18.967942222924382,Completed,
65,Cold_Full,2022,3817,1243,1294.1849210527594,15.813519208326094,Completed,
73,Cold_Full,2022,3817,1243,1458.1197858567932,17.816623317578227,Completed,
70,Cold_Full,2022,3817,1243,1535.3425881961211,18.760201200652595,Completed,
72,Cold_Full,2022,3817,1243,1391.9678762714477,17.008319592292693,Completed,
71,Cold_Full,2022,3817,1243,1579.3447688045662,19.297859549889008,Completed,
77,Cold_Full,2022,3817,1243,1320.351464637066,16.133245649930235,Completed,
25,Cold_Full,2022,3817,1243,1279.9905091104251,15.640079074501628,Completed,
67,Cold_Full,2022,3817,1243,1383.1578423354174,16.90067064768894,Completed,
80,Cold_Full,2022,3817,1243,1675.868519551271,20.477273837339567,Completed,
50,Cold_Full,2022,3817,1243,1176.1483938127785,14.371242405042702,Completed,
82,Cold_Full,2022,3817,1243,1491.2369911610463,18.221279216195,Completed,
74,Cold_Full,2022,3817,1243,1407.9054626223412,17.203059404041696,Completed,
59,Cold_Full,2022,3817,1243,1254.2889362510443,15.326034064793589,Completed,
75,Cold_Full,2022,3817,1243,1300.1666299805256,15.88660912576301,Completed,
79,Cold_Full,2022,3817,1243,1344.510796905913,16.428446172420458,Completed,
68,Cold_Full,2022,3817,1243,1330.8375771126691,16.26137443458547,Completed,
84,Cold_Full,2022,3817,1243,1449.3133334887275,17.70901813580379,Completed,
30,Cold_Full,2022,3817,1243,1340.7041591657442,16.381933237488152,Completed,
76,Cold_Full,2022,3817,1243,1462.1345132846395,17.86567888008996,Completed,
86,Cold_Full,2022,3817,1243,1650.766327372974,20.17055260166044,Completed,
87,Cold_Full,2022,3817,1243,1519.1368873655756,18.562185324250827,Completed,
85,Cold_Full,2022,3817,1243,1538.8074882810038,18.802538476536366,Completed,
90,Cold_Full,2022,3817,1243,1465.4638933352962,17.90636024990537,Completed,
91,Cold_Full,2022,3817,1243,1628.5692420050818,19.89932858249285,Completed,
83,Cold_Full,2022,3817,1243,1524.1214194134238,18.62309083473927,Completed,
92,Cold_Full,2022,3817,1243,1508.0734238722555,18.42700194387276,Completed,
93,Cold_Full,2022,3817,1243,1596.1594662727218,19.503316696753746,Completed,
41,Cold_Full,2022,3817,1243,1351.1574005341213,16.509660373293165,Completed,
78,Cold_Full,2022,3817,1243,1432.8914743074374,17.50836104161627,Completed,
95,Cold_Full,2022,3817,1243,1435.8399076963606,17.544387661361057,Completed,
1,Cold_Full,2023,3305,1755,1443.8714749168228,18.020461486716986,Completed,
69,Cold_Full,2022,3817,1243,1368.8565784681264,16.725924900624616,Completed,
88,Cold_Full,2022,3817,1243,1542.0646832944242,18.842337824428697,Completed,
5,Cold_Full,2023,3305,1755,1761.6283726105992,21.986275644351224,Completed,
98,Cold_Full,2022,3817,1243,1235.2611355510617,15.093535225588594,Completed,
3,Cold_Full,2023,3305,1755,1620.6946462816084,20.227330453168335,Completed,
96,Cold_Full,2022,3817,1243,1348.7838304876448,16.480657952609935,Completed,
2,Cold_Full,2023,3305,1755,1659.8787906457583,20.716374233498435,Completed,
7,Cold_Full,2023,3305,1755,1530.9789434005531,19.107619733337863,Completed,
11,Cold_Full,2023,3305,1755,1628.8650228388444,20.329302102750326,Completed,
6,Cold_Full,2023,3305,1755,1601.7077584101332,19.990361659487967,Completed,
97,Cold_Full,2022,3817,1243,1387.19898920962,16.95004902683656,Completed,
4,Cold_Full,2023,3305,1755,1256.0809408430282,15.676712651979615,Completed,
12,Cold_Full,2023,3305,1755,1662.7993624800845,20.752824882447435,Completed,
8,Cold_Full,2023,3305,1755,1580.251554491816,19.72257418457892,Completed,
16,Cold_Full,2023,3305,1755,1786.8721950389975,22.3013350784845,Completed,
0,Cold_Full,2023,3305,1755,1585.9052495040446,19.79313600049912,Completed,
19,Cold_Full,2023,3305,1755,1561.7633578690345,19.491829384236578,Completed,
9,Cold_Full,2023,3305,1755,1467.7207918563322,18.31811657919514,Completed,
99,Cold_Full,2022,3817,1243,1406.8120312179005,17.18969887245472,Completed,
89,Cold_Full,2022,3817,1243,1460.079883806182,17.840573563071466,Completed,
17,Cold_Full,2023,3305,1755,1618.8200139782991,20.20393381447133,Completed,
18,Cold_Full,2023,3305,1755,1335.679772707179,16.670158196762763,Completed,
22,Cold_Full,2023,3305,1755,1889.9991641232712,23.5884271825321,Completed,
81,Cold_Full,2022,3817,1243,1472.6889560062968,17.994642585351134,Completed,
21,Cold_Full,2023,3305,1755,1524.3441096143104,19.024812663046067,Completed,
14,Cold_Full,2023,3305,1755,1612.6210842626724,20.126567112420684,Completed,
56,Cold_Full,2022,3817,1243,1416.504394895562,17.308128918035923,Completed,
26,Cold_Full,2023,3305,1755,1673.6024360879385,20.887654315170813,Completed,
24,Cold_Full,2023,3305,1755,1668.431682115856,20.82311991967237,Completed,
33,Cold_Full,2023,3305,1755,1569.6182452616822,19.58986352245505,Completed,
34,Cold_Full,2023,3305,1755,1619.0695518490172,20.207048210500943,Completed,
13,Cold_Full,2023,3305,1755,1706.2240902520514,21.294793920537185,Completed,
94,Cold_Full,2022,3817,1243,1610.857308272195,19.68290819330012,Completed,
25,Cold_Full,2023,3305,1755,1521.2926992295138,18.986729063311152,Completed,
35,Cold_Full,2023,3305,1755,1969.7613204177178,24.58391112315388,Completed,
23,Cold_Full,2023,3305,1755,1576.4178903657223,19.67472754591514,Completed,
27,Cold_Full,2023,3305,1755,1304.0590061095215,16.27551032362961,Completed,
32,Cold_Full,2023,3305,1755,1708.2490747162085,21.320067052655574,Completed,
28,Cold_Full,2023,3305,1755,1424.2556709785365,17.775643408694325,Completed,
29,Cold_Full,2023,3305,1755,1367.5314802387081,17.067688363975993,Completed,
10,Cold_Full,2023,3305,1755,1388.2294283692736,17.32601231013083,Completed,
15,Cold_Full,2023,3305,1755,1104.741511156188,13.787897469000448,Completed,
40,Cold_Full,2023,3305,1755,1679.9419697841336,20.966775846969625,Completed,
38,Cold_Full,2023,3305,1755,1758.920285827531,21.95247694798195,Completed,
43,Cold_Full,2023,3305,1755,1676.6559566255983,20.925764250995236,Completed,
49,Cold_Full,2023,3305,1755,1729.1936764365357,21.581469397124998,Completed,
20,Cold_Full,2023,3305,1755,1302.499836411137,16.256050864814128,Completed,
42,Cold_Full,2023,3305,1755,1355.5447842625422,16.918086549033337,Completed,
39,Cold_Full,2023,3305,1755,1711.281278283913,21.357910938736122,Completed,
41,Cold_Full,2023,3305,1755,1638.7506129613191,20.452680740787194,Completed,
44,Cold_Full,2023,3305,1755,1766.747849128273,22.050170063641005,Completed,
54,Cold_Full,2023,3305,1755,1519.731652791312,18.96724618155382,Completed,
46,Cold_Full,2023,3305,1755,1402.4410470499029,17.503382617354983,Completed,
36,Cold_Full,2023,3305,1755,1545.72989948589,19.291721324543122,Completed,
60,Cold_Full,2023,3305,1755,1699.6093698751406,21.21223787876457,Completed,
52,Cold_Full,2023,3305,1755,1807.5937673900414,22.559953870380586,Completed,
47,Cold_Full,2023,3305,1755,1563.1552623011887,19.50920126300042,Completed,
48,Cold_Full,2023,3305,1755,1447.7365865598063,18.06870061098409,Completed,
57,Cold_Full,2023,3305,1755,1839.9443382631648,22.963710178763925,Completed,
59,Cold_Full,2023,3305,1755,1603.8379000656969,20.01694722221442,Completed,
37,Cold_Full,2023,3305,1755,1432.7633231737116,17.881824479093524,Completed,
30,Cold_Full,2023,3305,1755,1352.191302239034,16.87623289744395,Completed,
62,Cold_Full,2023,3305,1755,1814.869907029205,22.650764857658437,Completed,
45,Cold_Full,2023,3305,1755,1419.7826741706726,17.719817479512532,Completed,
64,Cold_Full,2023,3305,1755,1754.995711940985,21.90349569597796,Completed,
67,Cold_Full,2023,3305,1755,1605.515609428535,20.037886133664742,Completed,
65,Cold_Full,2023,3305,1755,1507.298993079157,18.812078447158864,Completed,
73,Cold_Full,2023,3305,1755,1775.409457328147,22.158272605792728,Completed,
58,Cold_Full,2023,3305,1755,1346.4826145863467,16.804984737360396,Completed,
72,Cold_Full,2023,3305,1755,1770.6677909198088,22.099093504066072,Completed,
68,Cold_Full,2023,3305,1755,1414.7981541401682,17.657607405555186,Completed,
50,Cold_Full,2023,3305,1755,1345.386366654976,16.791302845328907,Completed,
51,Cold_Full,2023,3305,1755,1251.8681854133908,15.624134705610041,Completed,
81,Cold_Full,2023,3305,1755,1798.987803636711,22.452545807358977,Completed,
75,Cold_Full,2023,3305,1755,1697.870984211074,21.190541687342698,Completed,
77,Cold_Full,2023,3305,1755,1527.8190129963368,19.068181732699223,Completed,
80,Cold_Full,2023,3305,1755,1459.4052827831492,18.21433358077807,Completed,
66,Cold_Full,2023,3305,1755,1670.6929823109572,20.851342426857837,Completed,
56,Cold_Full,2023,3305,1755,1207.0835874573272,15.065193597148957,Completed,
55,Cold_Full,2023,3305,1755,1364.9901762953252,17.035971226659175,Completed,
71,Cold_Full,2023,3305,1755,1551.0154484410978,19.35768843660132,Completed,
82,Cold_Full,2023,3305,1755,1714.2423947716693,21.394867611509483,Completed,
76,Cold_Full,2023,3305,1755,1532.1967666228543,19.12281896461042,Completed,
31,Cold_Full,2023,3305,1755,1348.6110196240961,16.83154862595935,Completed,
83,Cold_Full,2023,3305,1755,1624.5911274952205,20.275961090218395,Completed,
84,Cold_Full,2023,3305,1755,1579.8390700715167,19.71742610890944,Completed,
70,Cold_Full,2023,3305,1755,1378.2847836246328,17.20189663173902,Completed,
88,Cold_Full,2023,3305,1755,1530.7147863429389,19.104322880282812,Completed,
63,Cold_Full,2023,3305,1755,1310.265524095419,16.35297173226221,Completed,
79,Cold_Full,2023,3305,1755,1577.3012549200037,19.685752513999695,Completed,
85,Cold_Full,2023,3305,1755,1502.8034625684913,18.755971282610524,Completed,
96,Cold_Full,2023,3305,1755,1623.8587753661056,20.266820856086273,Completed,
53,Cold_Full,2023,3305,1755,1120.2268876863066,13.981165108271728,Completed,
95,Cold_Full,2023,3305,1755,1557.251676385852,19.435520644975206,Completed,
98,Cold_Full,2023,3305,1755,1720.6266519802882,21.474547322029313,Completed,
69,Cold_Full,2023,3305,1755,1433.8888059109818,17.89587124064625,Completed,
97,Cold_Full,2023,3305,1755,1677.6671953348728,20.938385172269,Completed,
91,Cold_Full,2023,3305,1755,1125.6389964977013,14.048711770209405,Completed,
87,Cold_Full,2023,3305,1755,1439.8302502662846,17.970024356792806,Completed,
61,Cold_Full,2023,3305,1755,1528.7184235574218,19.079406965455977,Completed,
99,Cold_Full,2023,3305,1755,1605.7290925340646,20.040550542615325,Completed,
94,Cold_Full,2023,3305,1755,1502.9007481850638,18.75718547081017,Completed,
93,Cold_Full,2023,3305,1755,1635.8546187510456,20.416536836680358,Completed,
74,Cold_Full,2023,3305,1755,1457.2928585628522,18.187969143245528,Completed,
89,Cold_Full,2023,3305,1755,1196.8624691034759,14.937627347073018,Completed,
78,Cold_Full,2023,3305,1755,1425.1424613291235,17.786711132960065,Completed,
4,Cold_Full,2024,2998,2062,1203.3934450169818,14.65162176523386,Completed,
0,Cold_Full,2024,2998,2062,1252.0104607113215,15.24354631680714,Completed,
90,Cold_Full,2023,3305,1755,1633.064865676373,20.38171889151493,Completed,
86,Cold_Full,2023,3305,1755,1482.3385756986745,18.50055609360362,Completed,
9,Cold_Full,2024,2998,2062,1375.0911706689733,16.74208531613709,Completed,
11,Cold_Full,2024,2998,2062,1326.4262089212898,16.149577009149784,Completed,
1,Cold_Full,2024,2998,2062,1307.5338709738446,15.919557981696103,Completed,
7,Cold_Full,2024,2998,2062,1406.7433094198693,17.127458169013387,Completed,
8,Cold_Full,2024,2998,2062,1446.4129004064462,17.61044554535617,Completed,
13,Cold_Full,2024,2998,2062,1373.3509784460102,16.720898032497452,Completed,
92,Cold_Full,2023,3305,1755,1380.466115695868,17.2291210843737,Completed,
19,Cold_Full,2024,2998,2062,1520.0668424126573,18.507201053093084,Completed,
14,Cold_Full,2024,2998,2062,1065.1008587756796,12.967874296828006,Completed,
3,Cold_Full,2024,2998,2062,1288.2225702835924,15.684437976115317,Completed,
2,Cold_Full,2024,2998,2062,1177.5672918652838,14.337181771234771,Completed,
5,Cold_Full,2024,2998,2062,1276.7914317500895,15.545260952314502,Completed,
6,Cold_Full,2024,2998,2062,1319.2658146623332,16.062397384890904,Completed,
